253 Commonwealth Avenue,2018-09-07 20:22,2018-09-07 21:22,(Co-ed) Lie-off,"Why settle for a half-truth, when no truth will do just fine? Get the finest bullshit from an accredited institution! MIT’s expert orators will entice your ears and defy your senses! Don’t miss the 22nd annual bullshitters’ Olympics!"
253 Commonwealth Avenue,2018-09-08 11:22,2019-09-08 12:22,(Co-ed) Espresso Crawl,How many sips does it take to get through all of the coffee shops in Boston? The world may never know.
253 Commonwealth Avenue,2018-09-08 13:22,2018-09-08 15:22,(Co-ed) Science Smorgasbord,Prepare your minds for true enlightenment that can only be achieved through applying a strong electromagnetic field to pickles.
253 Commonwealth Avenue,2018-09-09 11:22,2018-09-09 12:22,(Co-ed) Brunch,"Fill your stomachs, heart, and pineal glands. tEp has brunch every Sunday morning. Join us for the spiritual awakening that is getting out of bed on Sunday."
253 Commonwealth Avenue,2018-09-09 17:22,2018-09-09 19:22,(Co-ed) Iron tEps Cooking Competition,What's for dinner? We don't know either. Come join tEp's culinary experts in the ultimate cooking challenge.
253 Commonwealth Avenue,2018-09-09 19:22,2018-09-09 20:22,(Co-ed) Iron tEps Eating Competition,Which cook wins the grand prize? You be the judge.
253 Commonwealth Avenue,2018-09-09 20:22,2018-09-09 21:22,(Co-ed) The Crock,"Come one, come all, to tEp's annual Comic Rock Opera!"
253 Commonwealth Avenue,2018-09-10 17:52,2018-09-10 19:22,(Co-ed) Cook Haus Fud with Us!,Enlist with Team Monday and aid in their quest to feed a house full of hungry tEps.
253 Commonwealth Avenue,2018-09-10 19:22,2018-09-10 20:22,(Co-ed) Haus Fud,We have a family-style dinner every Sunday through Thursday night. Come eat with us!
253 Commonwealth Avenue,2018-09-10 21:22,2018-09-10 22:22,(Co-ed) Cocoa,"tEp has Cocoa the night after the first classes of the week, every week of the semester! Come over for cocoa, breads, cheeses and get to know tEp!"
253 Commonwealth Avenue,2018-09-11 17:52,2018-09-11 19:22,(Co-ed) Cook Haus Fud with Us!,Enlist with Team Tuesday and aid in their quest to feed a house full of hungry tEps.
253 Commonwealth Avenue,2018-09-11 19:22,2018-09-11 20:22,(Co-ed) Haus Fud,We have a family-style dinner every Sunday through Thursday night. Come eat with us!
253 Commonwealth Avenue,2018-09-12 17:52,2018-09-12 19:22,(Co-ed) Cook Haus Fud with Us!,Enlist with Team Wednesday and aid in their quest to feed a house full of hungry tEps.
253 Commonwealth Avenue,2018-09-12 19:22,2018-09-12 20:22,(Co-ed) Haus Fud,We have a family-style dinner every Sunday through Thursday night. Come eat with us!
