"09/03",,,,,,,
12:00pm - 3:00pm,Greek Griller,"Shensley, Sydney, ...?",,Start of Rush,0,,Chocolate canisters? We can and should send 8 people.
04:22pm - 6:22pm,Bad Art,Shensley,,"Don't conform to the mainstream ideas of what ""is"" or ""isn't"" art. Who says you can't paint with tumeric?",70,"1 bottle of tumeric, 1 bottle of paprika","tumeric, paprika, finger brushes, brushes, gel pens, glitter glue, mascara, lip gloss, duct tape, construction paper, hardware store, solder, pipe cleaners, etc"
05:22pm - 8:22pm,Geocaching,Jamison,,Geocaches are hidden items that are tracked and found all over the world. Come on the treasure hunt you've always dreamed about while exploring Boston.,0,,
05:22pm - 7:22pm,Doorbell Tuning,Sydney,,"The tEp doorbell can play sounds between 10 and 60 Hz. Come program it for yourself, or just find tEp’s resonant frequency.",$0,N/A,
07:22pm - 9:22pm,Fud Orgy,Everyone,,Our biggest feast yet.  The only rule: you can’t feed yourself.  Grab a friend and head over to tEp.,450,,
,,,,,,,
"09/10",,,,,,,
12:22pm - 1:22pm,Espresso Crawl,Sydney,"Caitlin, Sofi","Sleep deprived yet? Me, too! Luckily, we know all the best coffee shops on Newbury.",$50,N/A,
02:22pm - 3:22pm,Alternative Card Games,Gabe(?),,Alums leave strange things behind when they graduate. Sometimes those things are erotic card games. Come play with us!,0,,omg is this about that hentai card game jesse bought
03:22pm - 5:22pm,Cooking Instructional,Jamison,Jetson,Want to learn how to feed yourself and impress your friends? Come to tEp to learn how to make exciting dishes.,30,,
02:22pm - 5:22pm,Find Things in Chinatown,Chemma,,Chinatown is full of surprises. Find a two-foot-long dried squid and bring it home for others to smell!,200,,
05:22pm - 7:22pm,Cook Things from Chinatown,Chemma(?),,Found something in Chinatown? We'll help you figure out how to cook it!,0,,
08:22pm - 10:22pm,Pirate Stories,Zwack,,Listen to stories from tEp's very own Pirate Captain! A few brave scalawags might even get to steer our pirate wheel.,0,,
09:22pm - 11:22pm,Pajama Party,Carrie,Sydney,"Too old for a pajama party? I don't think so. Come to tEp and have the party your parents wouldn't let you have. Pajamas encouraged, but not required.",70,,I need all of the blowup mattressess/extra squishy things in the house
,,,,,,,
"09/11",,,,,,,
11:22am - 12:22pm,Brunch,Brunch Team,,"Eggs, potatoes, fresh fruit and coffee.",70,,
01:22pm - 3:22pm,Fawltey Towers,Chemma,,"Warty fowls, farty towels, flowery twats: come watch every episode of the greatest comedy TV show ever made. Or come argue with Emma about why it's not!", $0,,
05:52pm - 7:22pm,Cook Haus Fud with Us!,Team Sunday,,Enlist with Team Sunday and aid in their quest to feed a house full of hungry tEps.,0,,
08:22pm - 10:22pm,The Crock,tEp Alums,,"A Comic Rock Opera, written and performed by tEp alums.",0,,
07:22pm - 8:22pm,Haus Fud,Team Sunday,,We have a family-style dinner every Sunday through Thursday night. Come eat with us!,0,,
,,,,,,,
"09/12",,,,,,,
10:22pm - 11:22pm,Cocoa,Cocoa jobs TBA,,"tEp has Cocoa the night after the first classes of the week, every week of the semester! Come over for cocoa, breads, cheeses and get to know tEp!",0,,
05:52pm - 7:22pm,Cook Haus Fud with Us!,Team Monday,,Enlist with Team Monday and aid in their quest to feed a house full of hungry tEps.,0,,
07:22pm - 8:22pm,Haus Fud,Team Monday,,We have a family-style dinner every Sunday through Thursday night. Come eat with us!,0,,
,,,,,,,
"09/13",,,,,,,
05:52pm - 7:22pm,Cook Haus Fud with Us!,Team Tuesday,,Enlist with Team Tuesday and aid in their quest to feed a house full of hungry tEps.,0,,
07:22pm - 8:22pm,Haus Fud,Team Tuesday,,We have a family-style dinner every Sunday through Thursday night. Come eat with us!,0,,
,,,,,,,
"09/14",,,,,,,
05:52pm - 7:22pm,Cook Haus Fud with Us!,Team Wednesday,,Enlist with Team Wednesday and aid in their quest to feed a house full of hungry tEps.,0,,
07:22pm - 8:22pm,Haus Fud,Team Wednesday,,We have a family-style dinner every Sunday through Thursday night. Come eat with us!,0,,
